phase,epic,ticket_id,title,dependencies,primary_owner,acceptance_criterion
0,Constitution and Foundation,P0-001,Ratify product constitution,none,Product Lead,"Constitution fixes source-to-action chain, global scope, publication limits and operator authority; approval recorded."
0,Constitution and Foundation,P0-002,Create global jurisdiction registry,P0-001,Data Governance Lead,All countries and territories are represented; parent/relationship model supports all declared jurisdiction layers; missing-universe test passes.
0,Constitution and Foundation,P0-003,Define regulatory source taxonomy,P0-001,Regulatory Ontology Lead,"All binding, rulemaking, administrative, licence, market and secondary source classes map to controlled concepts."
0,Constitution and Foundation,P0-004,Define cannabis product and substance ontology,P0-001,Regulatory Ontology Lead,"Product form, intended use, cannabinoid, controlled status, dosage, material and packaging concepts pass multi-regime review."
0,Constitution and Foundation,P0-005,"Define activity, licence and facility ontology","P0-003,P0-004",Regulatory Ontology Lead,"Cultivation through destruction plus import/export, research, prescribing and dispensing map without jurisdiction-specific information loss."
0,Constitution and Foundation,P0-006,Approve provenance and truth-class specification,P0-001,Data Governance Lead,"Fact, normalized fact, interpretation, estimate, forecast and recommendation have required evidence and review rules."
0,Constitution and Foundation,P0-007,Approve source-rights policy,P0-003,Privacy/Data Rights Lead,"Collection, storage, transformation, redistribution and termination controls are documented and enforceable."
0,Constitution and Foundation,P0-008,Approve data classification and retention model,P0-001,Security Architect,"Classification, residency, retention, legal hold and deletion policies are mapped to storage and access controls."
0,Constitution and Foundation,P0-009,Complete system threat model,"P0-006,P0-008",Security Architect,"Threat model covers cross-tenant access, public leakage, source injection, SSRF, evidence tampering, model misuse and privileged access."
0,Constitution and Foundation,P0-010,Approve service and bounded-context map,"P0-002,P0-003,P0-006",Principal Architect,Ownership and transactional boundaries are fixed; canonical and derived stores are explicitly separated.
0,Constitution and Foundation,P0-011,Establish architecture decision process,P0-010,Principal Architect,"ADR template, owners, decision authority, supersession and review cadence are operational."
0,Constitution and Foundation,P0-012,Build phase-zero proof matrix,"P0-002,P0-005,P0-006,P0-009,P0-010",QA Lead,"Representative regulatory archetypes prove ontology, provenance, authorization and source-rights design; GO/HOLD signed."
1,Evidence and Regulatory Spine,P1-001,Provision canonical PostgreSQL platform,P0-012,Platform Engineer,"HA database, migrations, backups, restricted owner roles and environment isolation verified."
1,Evidence and Regulatory Spine,P1-002,Implement source registry service,P1-001,Backend Engineer,"Source CRUD enforces rights, allowed hosts, cadence, freshness SLA, parser and owner requirements."
1,Evidence and Regulatory Spine,P1-003,Implement secure acquisition runtime,P1-002,Ingestion Engineer,"Idempotent fetch, rate limiting, backoff, run locks, SSRF blocking, credentials and dead-letter handling pass tests."
1,Evidence and Regulatory Spine,P1-004,Implement immutable evidence storage,"P1-001,P1-003",Platform Engineer,"Every successful fetch writes versioned, hash-verified, retention-controlled raw evidence before processing."
1,Evidence and Regulatory Spine,P1-005,Implement document normalization pipeline,P1-004,Document Engineer,"HTML, XML, JSON, PDF, scans, tables and attachments produce versioned normalized artifacts with processing lineage."
1,Evidence and Regulatory Spine,P1-006,Implement passage and citation anchoring,P1-005,Document Engineer,Stable page/section/paragraph/table anchors survive reprocessing and reconstruct exact source passages.
1,Evidence and Regulatory Spine,P1-007,Implement document version and diff engine,"P1-005,P1-006",Data Engineer,"Structural and semantic differences identify additions, deletions, moves, status and effective-date changes."
1,Evidence and Regulatory Spine,P1-008,Implement regulatory instrument and provision service,P1-006,Backend Engineer,"Documents map to versioned instruments, provisions, legal effects, commencement and supersession relationships."
1,Evidence and Regulatory Spine,P1-009,Implement hybrid regulatory search,"P1-006,P1-008",Search Engineer,Exact legal terms and semantic concepts retrieve evidence-filtered results; indexes are reproducibly rebuilt.
1,Evidence and Regulatory Spine,P1-010,Build analyst triage and review workbench,"P1-007,P1-008",Product Engineer,"Analysts compare versions, inspect citations, classify materiality, route specialist review and record decisions."
1,Evidence and Regulatory Spine,P1-011,"Implement publication, correction and retraction","P1-006,P1-010",Backend Engineer,"No publication without evidence/review; corrections propagate to alerts, exports and public projections."
1,Evidence and Regulatory Spine,P1-012,Certify evidence-spine release,P1-001..P1-011,QA/Security Lead,"Acquisition, integrity, lineage, change recall/precision, RLS, leakage, replay and correction evidence meet Phase 1 gate."
2,"Applicability, Obligations and Workflow",P2-001,Implement organization operating profiles,P1-012,Backend Engineer,"Versioned customer facts cover entities, facilities, licences, products, activities, jurisdictions and business roles."
2,"Applicability, Obligations and Workflow",P2-002,Implement applicability DSL parser and validator,"P0-005,P2-001",Rules Engineer,"DSL validates typed facts, operators, missing-input policy, conflict policy and deterministic AST compilation."
2,"Applicability, Obligations and Workflow",P2-003,Implement deterministic applicability evaluator,P2-002,Rules Engineer,"Evaluations are reproducible by profile, rule, date and input hash and emit complete reason traces."
2,"Applicability, Obligations and Workflow",P2-004,Implement obligation extraction candidates,P1-008,ML/Extraction Engineer,"Provision candidates extract subject, action, object, conditions, exceptions, triggers, timing and evidence requirements with citations."
2,"Applicability, Obligations and Workflow",P2-005,Build obligation specialist-review workflow,P2-004,Regulatory Product Engineer,"Risk-tier routing, jurisdiction authority, dual review and version approval are enforced."
2,"Applicability, Obligations and Workflow",P2-006,Implement obligation versioning and supersession,P2-005,Backend Engineer,Current and historical obligations are time-bounded; superseded obligations cannot generate current actions.
2,"Applicability, Obligations and Workflow",P2-007,Implement control and SOP mapping,P2-006,Compliance Engineer,"Obligations map to control objectives, procedures, evidence, owner and frequency with partial/conflict semantics."
2,"Applicability, Obligations and Workflow",P2-008,Implement compliance calendar and deadlines,"P2-003,P2-006",Workflow Engineer,Relative and fixed deadlines recalculate at runtime and preserve source/effective-date lineage.
2,"Applicability, Obligations and Workflow",P2-009,"Implement alert rules, routing and digests","P2-003,P2-008",Workflow Engineer,"Alerts deduplicate, apply materiality and entitlements, explain applicability and track acknowledgement."
2,"Applicability, Obligations and Workflow",P2-010,"Implement assessments, findings and remediation",P2-007,Product Engineer,"Assessments create evidence-backed findings, owners, due dates, approvals and closure history."
2,"Applicability, Obligations and Workflow",P2-011,Implement customer evidence room and attestations,"P2-007,P2-010",Security/Product Engineer,"Tenant-isolated evidence, signatures, retention, download controls and audit bundles work end to end."
2,"Applicability, Obligations and Workflow",P2-012,Certify obligation and applicability release,P2-001..P2-011,QA/Domain Review Lead,"Counsel-reviewed benchmark has no critical false negatives; reason traces, supersession, deadlines and tenant isolation pass."
3,"Entities, Licences, Quality and Counterparties",P3-001,Implement canonical entity registry,P1-012,Registry Engineer,"Entities retain official identifiers, historical names, jurisdiction, status, evidence and public/private ownership."
3,"Entities, Licences, Quality and Counterparties",P3-002,Implement person and beneficial-owner model,P3-001,Registry Engineer,"People and ownership records follow privacy, evidence, validity and restricted-access controls."
3,"Entities, Licences, Quality and Counterparties",P3-003,Implement reversible entity resolution,"P3-001,P3-002",Data Engineer,Merge proposals expose evidence/confidence; automatic high-confidence merges meet 99% precision; split restores history.
3,"Entities, Licences, Quality and Counterparties",P3-004,Implement facility registry,P3-001,Registry Engineer,"Facilities link addresses, geolocation, operators, authorized activities, capacities and validity history."
3,"Entities, Licences, Quality and Counterparties",P3-005,Implement licence-class normalization,"P0-005,P3-004",Regulatory Data Engineer,Jurisdiction licence classes map to canonical activities without losing local conditions.
3,"Entities, Licences, Quality and Counterparties",P3-006,Implement licence ingestion and history,"P3-005,P1-003",Ingestion Engineer,"Pending, active, conditional, suspended, expired, revoked and denied states retain official evidence and change history."
3,"Entities, Licences, Quality and Counterparties",P3-007,Implement certification and GxP records,P3-004,Quality Data Engineer,"GACP/GMP/GDP/GLP/accreditation scope, issuer, validity, findings and non-compliance are normalized."
3,"Entities, Licences, Quality and Counterparties",P3-008,"Implement inspection, enforcement and recall intelligence","P3-004,P1-008",Regulatory Data Engineer,"Events link entities/facilities/products, severity, resolution and source evidence."
