listing_id,title,before_asset,current_asset,final_asset,required_visual_subject,observed_visual_subject,trust_class,precedence_result,pass_fail,rationale
625011fd-c012-4ec9-978d-c0b4e6f142b3,"510 Thread Battery — Variable Voltage, USB-C",representative/v3/vape-hardware.png,representative/v3/vape-hardware.png,representative/v3/vape-hardware.png,510 battery/cartridge hardware,510 battery and ceramic/glass cartridge hardware components,HARBOURVIEW_ILLUSTRATIVE,No approved higher-trust production media exists; illustrative row remains eligible fallback only.,PASS,Pixel-inspected representative subject is materially aligned with the advertised listing class; public trust/disclosure metadata is valid.
3a22e325-0da3-4c35-a7c9-9f140d30b948,"All-Ceramic 510 Vape Cartridges — GMP Certified, White Label",representative/v3/vape-hardware.png,representative/v3/vape-hardware.png,representative/v3/vape-hardware.png,510 battery/cartridge hardware,510 battery and ceramic/glass cartridge hardware components,HARBOURVIEW_ILLUSTRATIVE,No approved higher-trust production media exists; illustrative row remains eligible fallback only.,PASS,Pixel-inspected representative subject is materially aligned with the advertised listing class; public trust/disclosure metadata is valid.
8c2e8173-6701-43ba-8adc-67140e4142c5,Asia Pacific Import Demand — Pharmaceutical-Grade API,representative/v3/extract-isolate.png,representative/v3/extract-isolate.png,representative/v3/extract-isolate.png,extract/isolate/distillate product class,"neutral containers holding representative extract, distillate and isolate product forms",HARBOURVIEW_ILLUSTRATIVE,No approved higher-trust production media exists; illustrative row remains eligible fallback only.,PASS,Pixel-inspected representative subject is materially aligned with the advertised listing class; public trust/disclosure metadata is valid.
579f8026-963a-4a5d-9535-ccea9462dbdb,"Batch/Lot Traceability Barcode Labels (Blank, Roll of 1000)",representative/v3/labels-signage.png,representative/v3/labels-signage.png,representative/v3/labels-signage.png,labels/signage and traceability materials,"blank labels, rolls, cards and compliance-signage materials",HARBOURVIEW_ILLUSTRATIVE,No approved higher-trust production media exists; illustrative row remains eligible fallback only.,PASS,Pixel-inspected representative subject is materially aligned with the advertised listing class; public trust/disclosure metadata is valid.
0f30cf53-5aa5-475c-a1a0-3aec1dfab95a,Bench-Top Impulse Heat Sealer (Mylar Pouches),representative/v4/impulse-sealer.png,representative/v4/impulse-sealer.png,representative/v4/impulse-sealer.png,bench-top impulse pouch sealer,bench-top impulse heat sealer for flexible pouches,HARBOURVIEW_ILLUSTRATIVE,No approved higher-trust production media exists; illustrative row remains eligible fallback only.,PASS,Pixel-inspected representative subject is materially aligned with the advertised listing class; public trust/disclosure metadata is valid.
11aafa0c-510d-4a9f-bfc7-01e4dd403d1a,"Bench-Top Moisture Analyzer (Halogen, Compliance-Grade)",representative/v2/lab-qa.png,representative/v6/moisture-analyzer.png,representative/v6/moisture-analyzer.png,bench-top halogen moisture analyzer,bench-top halogen moisture analyzer with hinged heating lid and sample pan,HARBOURVIEW_ILLUSTRATIVE,No approved higher-trust production media exists; illustrative row remains eligible fallback only.,PASS,Pixel-inspected representative subject is materially aligned with the advertised listing class; public trust/disclosure metadata is valid.
455d32a8-661d-4b30-8768-ce4f308dda34,"Borosilicate Glass Dispensary Jars — CR Lid, UV-Protective, Bulk",representative/v3/glass-jars.png,representative/v3/glass-jars.png,representative/v3/glass-jars.png,"materially representative visual of the listing product, equipment, facility or service class",assortment of small glass concentrate and dispensary jars with child-resistant lids,HARBOURVIEW_ILLUSTRATIVE,No approved higher-trust production media exists; illustrative row remains eligible fallback only.,PASS,Pixel-inspected representative subject is materially aligned with the advertised listing class; public trust/disclosure metadata is valid.
c6c24e46-8c82-46fc-8a25-e64435fafe0d,Bulk Child-Resistant Packaging Opportunity,representative/v4/mixed-packaging-suite.png,representative/v4/mixed-packaging-suite.png,representative/v4/mixed-packaging-suite.png,mixed or pharmaceutical packaging suite,mixed child-resistant primary and secondary packaging suite,HARBOURVIEW_ILLUSTRATIVE,No approved higher-trust production media exists; illustrative row remains eligible fallback only.,PASS,Pixel-inspected representative subject is materially aligned with the advertised listing class; public trust/disclosure metadata is valid.
4b27ef33-7cfe-4ab1-ae14-1a26d0545301,"Bulk Curing Tote / Turkey Bag (Large Format, Food-Grade)",representative/v3/humidity-curing.png,representative/v3/humidity-curing.png,representative/v3/humidity-curing.png,curing/storage/humidity-control supplies,"bulk curing/storage bags, containers and humidity-control/storage accessories",HARBOURVIEW_ILLUSTRATIVE,No approved higher-trust production media exists; illustrative row remains eligible fallback only.,PASS,Pixel-inspected representative subject is materially aligned with the advertised listing class; public trust/disclosure metadata is valid.
e655cd66-8a12-4d80-a612-67649e03bc05,Bulk Packaging Supply — High-Volume Operators,representative/v4/mixed-packaging-suite.png,representative/v4/mixed-packaging-suite.png,representative/v4/mixed-packaging-suite.png,mixed or pharmaceutical packaging suite,mixed child-resistant primary and secondary packaging suite,HARBOURVIEW_ILLUSTRATIVE,No approved higher-trust production media exists; illustrative row remains eligible fallback only.,PASS,Pixel-inspected representative subject is materially aligned with the advertised listing class; public trust/disclosure metadata is valid.
